date,round,home_team,home_score,away_team,away_score,home_result
7/29/18,Round 1,Seattle Sounders FC,3,New York City FC,1,2
7/30/18,Round 1,L.A. Galaxy,4,Orlando City,3,1
8/4/18,Round 1,Atlanta United,2,Toronto FC,2,0
8/5/18,Round 1,Montreal Impact,1,DC United,1,0
8/5/18,Round 1,Orlando City,3,New England Rev.,3,0
8/5/18,Round 1,FC Dallas,1,San Jose Earthquakes,3,-2
8/5/18,Round 1,New York City FC,2,Vancouver Whitecaps,2,0
8/5/18,Round 1,Minnesota United,1,Seattle Sounders FC,2,-1
8/5/18,Round 1,Houston Dynamo,0,Sporting Kansas City,1,-1
8/5/18,Round 1,Colorado Rapids,2,L.A. Galaxy,1,1
8/5/18,Round 1,Real Salt Lake,2,Chicago Fire,1,1
8/5/18,Round 1,Portland Timbers,3,Philadelphia Union,0,3
8/5/18,Round 1,New York Red Bulls,2,Los Angeles FC,1,1
8/12/18,Round 1,New England Rev.,2,Philadelphia Union,3,-1
8/12/18,Round 1,Columbus Crew,1,Houston Dynamo,0,1
8/12/18,Round 1,Chicago Fire,0,New York Red Bulls,1,-1
8/12/18,Round 1,Colorado Rapids,2,San Jose Earthquakes,1,1
8/12/18,Round 1,Real Salt Lake,1,Montreal Impact,1,0
8/12/18,Round 1,Los Angeles FC,0,Sporting Kansas City,2,-2
8/12/18,Round 1,L.A. Galaxy,2,Minnesota United,2,0
8/12/18,Round 1,Portland Timbers,1,Vancouver Whitecaps,2,-1
8/12/18,Round 1,Toronto FC,2,New York City FC,3,-1
8/13/18,Round 1,DC United,3,Orlando City,2,1
8/13/18,Round 1,Seattle Sounders FC,2,FC Dallas,1,1
8/15/18,Round 1,L.A. Galaxy,2,Colorado Rapids,2,0
8/16/18,Round 1,DC United,4,Portland Timbers,1,3
8/16/18,Round 1,Los Angeles FC,2,Real Salt Lake,0,2
8/18/18,Round 1,Seattle Sounders FC,5,L.A. Galaxy,0,5
8/19/18,Round 1,Philadelphia Union,2,New York City FC,0,2
